Dataset Atlas Type Value
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9171705572232248
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.899477804541734
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7966324778866662
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8083407096195083
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9074031216318963
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9010622159121097
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8912330540982037
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8172694262373791
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8071313394899602
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8751036677374983
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8321760053865588
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8728424451787323
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8430036291565328
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8038478766847365
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7877012708473382
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.894300159117656
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8826818614819781
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8577887002883585
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8915652759368285
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8803136537572223
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.764448702449113
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8255597414289413
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8184600252154104
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8718753623939763
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8613183107656038
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8488016244723087
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8951335797340494
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8848470508305507
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9063428057225221
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8794867757593382
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8513645714024455
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9242742441476529
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7608738371836322
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8996009380944915
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8558118423933018
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8379634698361583
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8631363806757492
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.761598431941765
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9037480502304704
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.871474592740989
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9137357964307805
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.877918497718286
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9115731130102487
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8567006447123492
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8932147383656371
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8489500333598738
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8626011362690508
